manage-musical-staff	manage-staff,manage-a-team,manage-teamwork,develop-staff
supervise-correctional-procedures	supervise-work,coordinate-patrols,maintain-students-discipline
apply-anti-oppressive-practices	deliver-social-services-in-diverse-cultural-communities,provide-support-to-social-services-users,work-within-communities
control-compliance-of-railway-vehicles-regulations	ensure-compliance-with-legal-requirements,comply-with-legal-regulations,comply-with-checklists
identify-available-services	screen-clients,engage-with-offenders
perform-toxicological-studies	analyse-chemical-substances
ensure-coquille-uniformity	construct-coquilles,construct-moulds,select-mould-types
haskell	computer-programming,ict-debugging-tools
show-initiative	assertiveness
train-staff-to-reduce-food-waste	train-employees
apply-diplomatic-principles	moderate-in-negotiations,speak-different-languages,protect-client-interests,promote-communication-between-parties
lead-police-investigations	check-stories,trace-people,study-community-as-a-target-community,perform-classroom-management
handle-fish-harvesting-waste	harvest-aquatic-resources,remove-parts-of-fish,dispose-food-waste
develop-energy-saving-concepts	optimise-production,mitigate-waste-of-resources,determine-appropriate-heating-and-cooling-system,design-thermal-requirements
perform-street-interventions-in-social-work	provide-social-counselling,reach-out-to-diverse-youth,support-social-service-users-with-specific-communication-needs,build-community-relations
work-with-soloists	work-with-an-artistic-team,provide-input-to-collaborators-to-guide-their-work,listen-actively,manage-participants-expectations-in-arts
sport-and-exercise-medicine	athletic-training,physical-therapy-education
conduct-research-on-flora	check-subjects,interpret-current-data,formulate-findings
install-heat-pump	install-air-conditioning-device,install-insulation-material
design-biomass-installations	design-hot-water-systems,design-ventilation-network,determine-suitability-of-materials
handle-equipment-while-suspended	rig-loads,carry-objects,use-hand-tools
teach-housekeeping-skills	assist-students-in-their-learning,supervise-practical-courses,advise-on-teaching-methods,teach-teaching-principles
check-train-engines	check-for-defects-in-railcars,diagnose-defective-engines
influence-public-policies	create-advocacy-material,liaise-with-politicians,liaise-with-government-officials
enterprise-risk-management	business-management-principles,risk-mindset,develop-plans-that-describe-a-program-s-sequence-of-events-goals-and-f13a21,monitor-surroundings-to-detect-potential-hazards
manufacture-ingredients	perform-blending-operations,refine-edible-oils,tend-spice-mixing-machine,adjust-solutions-consistency,fill-the-mixing-tank
maintain-aquaculture-ponds	maintain-aquaculture-containers,prepare-fish-holding-units,control-aquatic-production-environment
apply-credit-risk-policy	apply-company-policies,ensure-compliance-with-company-regulations,follow-company-standards,follow-the-statutory-obligations,apply-system-organisational-policies
handle-customer-requests-related-to-cargo	liaise-with-port-users,contact-new-or-existing-customers-to-discuss-how-specific-products-or-8a0cdd,clear-goods-through-customs-and-to-their-destinations-for-clients
draft-scientific-or-academic-papers-and-technical-documentation	draw-up-professional-texts,provide-written-content,apply-grammar-and-spelling-rules,use-specific-writing-techniques
incremental-development	computer-programming,process-based-management
use-of-special-equipment-for-daily-activities	disability-types,mobility-disability
sawing-techniques	woodworking-tools
produce-guitar-components	carve-materials,create-smooth-wood-surface
operate-agricultural-machinery	tow-a-tractor-implement-using-the-power-take-off,operate-front-loader
control-pyrotechnics-stock	carry-out-stock-rotation,check-stability-of-materials,label-components,match-goods-with-appropriate-packaging-according-to-security-procedures,use-warehouse-marking-tools
guarantee-customer-satisfaction	deliver-outstanding-service,deal-with-public,assist-customers
manufacture-wearing-apparel-products	sew-textile-based-articles,create-patterns-for-garments,assemble-pattern-parts
cure-tobacco-leaves	dry-tobacco-leaves,sun-cure-tobacco
