UNITID,field_name,n_syllabi_total,n_syllabi_original,n_syllabi_duplicate,percent_duplicate
100663,Accounting,1,1,0,0.0
100706,Accounting,4,4,0,0.0
100724,Accounting,1,1,0,0.0
100751,Accounting,166,83,83,50.0
100858,Accounting,48,46,2,4.166666666666666
101480,Accounting,4,4,0,0.0
101505,Accounting,11,11,0,0.0
101693,Accounting,141,89,52,36.87943262411347
101879,Accounting,4,4,0,0.0
101897,Accounting,4,4,0,0.0
102049,Accounting,3,3,0,0.0
102368,Accounting,51,46,5,9.803921568627452
102377,Accounting,1,1,0,0.0
102614,Accounting,9,6,3,33.33333333333333
102632,Accounting,1,1,0,0.0
104151,Accounting,3,3,0,0.0
104160,Accounting,27,20,7,25.925925925925924
104179,Accounting,1,1,0,0.0
105154,Accounting,1,1,0,0.0
105330,Accounting,19,19,0,0.0
105525,Accounting,1,1,0,0.0
105668,Accounting,13,9,4,30.76923076923077
106148,Accounting,1,1,0,0.0
106245,Accounting,1,1,0,0.0
106397,Accounting,14,14,0,0.0
106458,Accounting,15,14,1,6.666666666666667
106467,Accounting,2,2,0,0.0
106980,Accounting,1,1,0,0.0
107071,Accounting,1,1,0,0.0
107080,Accounting,1,1,0,0.0
107327,Accounting,7,7,0,0.0
107460,Accounting,98,60,38,38.775510204081634
107512,Accounting,1,1,0,0.0
107585,Accounting,1,1,0,0.0
107619,Accounting,7,7,0,0.0
107664,Accounting,1,1,0,0.0
108092,Accounting,11,11,0,0.0
108667,Accounting,3,1,2,66.66666666666666
109350,Accounting,15,14,1,6.666666666666667
109785,Accounting,17,6,11,64.70588235294117
109819,Accounting,42,41,1,2.380952380952381
109907,Accounting,27,11,16,59.25925925925925
110246,Accounting,80,45,35,43.75
110334,Accounting,40,35,5,12.5
110398,Accounting,1,1,0,0.0
110404,Accounting,1,1,0,0.0
110422,Accounting,4,4,0,0.0
110486,Accounting,2,2,0,0.0
110495,Accounting,2,1,1,50.0
110501,Accounting,111,97,14,12.612612612612612
110529,Accounting,32,29,3,9.375
110538,Accounting,11,10,1,9.090909090909092
110547,Accounting,11,10,1,9.090909090909092
110556,Accounting,4,4,0,0.0
110565,Accounting,36,31,5,13.88888888888889
110574,Accounting,2,2,0,0.0
110583,Accounting,56,54,2,3.571428571428571
110592,Accounting,1,1,0,0.0
110608,Accounting,33,22,11,33.33333333333333
110617,Accounting,31,29,2,6.451612903225806
110635,Accounting,250,198,52,20.8
110644,Accounting,9,9,0,0.0
110653,Accounting,33,21,12,36.36363636363637
110662,Accounting,23,23,0,0.0
110671,Accounting,3,3,0,0.0
110680,Accounting,23,21,2,8.695652173913043
110705,Accounting,10,9,1,10.0
110714,Accounting,18,14,4,22.22222222222222
111461,Accounting,13,12,1,7.6923076923076925
111887,Accounting,10,9,1,10.0
111896,Accounting,46,37,9,19.565217391304348
111920,Accounting,46,31,15,32.608695652173914
111939,Accounting,145,97,48,33.10344827586207
111948,Accounting,1,1,0,0.0
112172,Accounting,34,33,1,2.941176470588235
112190,Accounting,7,7,0,0.0
112251,Accounting,2,2,0,0.0
112376,Accounting,98,61,37,37.755102040816325
112385,Accounting,2,2,0,0.0
112826,Accounting,15,15,0,0.0
113096,Accounting,8,8,0,0.0
113111,Accounting,49,29,20,40.816326530612244
113193,Accounting,7,7,0,0.0
113218,Accounting,4,3,1,25.0
113236,Accounting,29,27,2,6.896551724137931
113333,Accounting,274,205,69,25.18248175182482
113634,Accounting,38,20,18,47.368421052631575
113856,Accounting,2,2,0,0.0
113980,Accounting,33,17,16,48.484848484848484
114716,Accounting,54,43,11,20.37037037037037
114789,Accounting,286,134,152,53.14685314685315
114859,Accounting,142,98,44,30.985915492957744
114938,Accounting,12,12,0,0.0
115001,Accounting,5,4,1,20.0
115083,Accounting,13,13,0,0.0
115296,Accounting,4,3,1,25.0
115393,Accounting,98,54,44,44.89795918367347
115755,Accounting,4,4,0,0.0
115773,Accounting,14,12,2,14.285714285714285
115861,Accounting,50,44,6,12.0
116712,Accounting,13,13,0,0.0
117052,Accounting,96,64,32,33.33333333333333
117140,Accounting,2,2,0,0.0
117274,Accounting,5,5,0,0.0
117557,Accounting,5,4,1,20.0
117645,Accounting,12,11,1,8.333333333333332
117681,Accounting,7,5,2,28.57142857142857
117690,Accounting,3,3,0,0.0
117715,Accounting,3,2,1,33.33333333333333
117733,Accounting,14,12,2,14.285714285714285
117867,Accounting,6,6,0,0.0
117894,Accounting,2,2,0,0.0
117946,Accounting,16,16,0,0.0
118347,Accounting,2,1,1,50.0
118684,Accounting,31,27,4,12.903225806451612
118718,Accounting,94,63,31,32.97872340425532
118772,Accounting,1,1,0,0.0
118912,Accounting,38,34,4,10.526315789473683
118930,Accounting,95,81,14,14.736842105263156
118976,Accounting,107,81,26,24.299065420560748
119058,Accounting,3,3,0,0.0
119067,Accounting,36,28,8,22.22222222222222
119137,Accounting,60,34,26,43.333333333333336
119173,Accounting,10,10,0,0.0
119216,Accounting,128,77,51,39.84375
119331,Accounting,28,14,14,50.0
119605,Accounting,4,4,0,0.0
120184,Accounting,17,15,2,11.76470588235294
120290,Accounting,80,60,20,25.0
120421,Accounting,33,26,7,21.21212121212121
120953,Accounting,1,1,0,0.0
120971,Accounting,55,38,17,30.909090909090907
121044,Accounting,1,1,0,0.0
121150,Accounting,15,13,2,13.333333333333334
121363,Accounting,1,1,0,0.0
121619,Accounting,218,96,122,55.96330275229357
121707,Accounting,37,34,3,8.108108108108109
122180,Accounting,1,1,0,0.0
122205,Accounting,219,170,49,22.37442922374429
122320,Accounting,191,107,84,43.97905759162304
122409,Accounting,113,109,4,3.5398230088495577
122436,Accounting,2,2,0,0.0
122597,Accounting,24,22,2,8.333333333333332
122612,Accounting,9,8,1,11.11111111111111
122746,Accounting,3,2,1,33.33333333333333
122755,Accounting,27,26,1,3.7037037037037033
122782,Accounting,197,179,18,9.137055837563452
122791,Accounting,70,67,3,4.285714285714286
122889,Accounting,62,62,0,0.0
122931,Accounting,2,2,0,0.0
122977,Accounting,179,85,94,52.513966480446925
123013,Accounting,172,46,126,73.25581395348837
123217,Accounting,20,19,1,5.0
123299,Accounting,26,13,13,50.0
123341,Accounting,21,21,0,0.0
123484,Accounting,31,12,19,61.29032258064516
123527,Accounting,41,38,3,7.317073170731707
123554,Accounting,2,2,0,0.0
123563,Accounting,20,17,3,15.0
123572,Accounting,6,6,0,0.0
123961,Accounting,393,361,32,8.142493638676845
124113,Accounting,11,10,1,9.090909090909092
125028,Accounting,37,37,0,0.0
125091,Accounting,16,15,1,6.25
125231,Accounting,4,4,0,0.0
125471,Accounting,71,66,5,7.042253521126761
125499,Accounting,39,34,5,12.82051282051282
125727,Accounting,75,51,24,32.0
125897,Accounting,287,240,47,16.376306620209057
126119,Accounting,24,19,5,20.833333333333336
126182,Accounting,8,8,0,0.0
126562,Accounting,1,1,0,0.0
126614,Accounting,13,12,1,7.6923076923076925
126678,Accounting,1,1,0,0.0
126711,Accounting,21,21,0,0.0
126775,Accounting,2,2,0,0.0
126818,Accounting,2,2,0,0.0
126863,Accounting,6,5,1,16.666666666666664
127060,Accounting,10,10,0,0.0
127185,Accounting,5,5,0,0.0
127200,Accounting,2,2,0,0.0
127565,Accounting,3,3,0,0.0
127617,Accounting,4,3,1,25.0
127741,Accounting,2,2,0,0.0
127820,Accounting,1,1,0,0.0
127918,Accounting,5,5,0,0.0
128391,Accounting,1,1,0,0.0
128498,Accounting,1,1,0,0.0
128744,Accounting,8,8,0,0.0
128771,Accounting,1,1,0,0.0
