field_name,field_code
Agriculture,01
Architecture,04
Women's Studies,05.0207
Media / Communications,09.0100/09.0101/09.0102/09.0199/09.07/09.09/09.10/09.99/10
Journalism,09.04
Computer Science,11
Cosmetology,12.04
Culinary Arts,12.05
Education,13
Engineering,14
Linguistics,16.0102/16.0105
Chinese,16.0301
Japanese,16.0302
German,16.0501
French,16.0901
Spanish,16.0905
Hebrew,16.1102
Classics,16.12
Sign Language,16.16
Nutrition,19.05
Law,22
English Literature,23
Library Science,25
Biology,26
Mathematics,27
Military Science,28/28.01/28.03/28.04/28.05/28.06/29/29.02
Fitness and Leisure,31/31.05/36
Basic Skills,32.0101/32.0104/32.0108/32.0109/32.0199/53
Basic Computer Skills,32.0110
Philosophy,38.01
Religion,38.02
Theology,39
Astronomy,40.02
Atmospheric Sciences,40.04
Chemistry,40.05
Earth Sciences,40.06
Physics,40.08
Psychology,42
Criminal Justice,43.01
Public Safety,43.02/43.03/43.99
Social Work,44.07
Anthropology,45.02
Economics,45.06
Geography,45.07
Political Science,45.09/45.10
Sociology,45.11/45.14
Mechanic / Repair Tech,47
Transportation,49
Dance,50.03
Theatre Arts,50.05
Film and Photography,50.06
Fine Arts,50.07
Music,50.09
Medicine,51.00/51.01/51.02/51.07/51.08/51.10/51.11/51.12/51.14/51.15/51.17/51.18/51.19/51.20/51.21/51.22/51.23/51.26/51.27/51.31/51.32/51.33/51.34/51.35/51.36/51.37/51.99
Dentistry,51.04/51.05/51.06
Health Technician,51.09
Veterinary Medicine,51.24/51.25
Nursing,51.38/51.39
Business,52.01/52.02/52.04/52.05/52.06/52.07/52.08/52.09/52.10/52.11/52.12/52.13/52.15/52.16/52.17/52.18/52.19/52.20/52.21/52.99
Accounting,52.03
Marketing,52.14
History,54
