year,UnitID,cipcode,graduates_cnt
2000,100858,01,46
2000,104151,01,1
2000,104179,01,17
2000,106397,01,34
2000,106458,01,59
2000,106467,01,48
2000,107983,01,20
2000,110422,01,280
2000,110529,01,29
2000,110538,01,44
2000,110556,01,42
2000,110644,01,329
2000,126818,01,97
2000,129020,01,3
2000,130183,01,5
2000,130934,01,6
2000,130943,01,20
2000,133650,01,11
2000,134079,01,7
2000,134130,01,77
2000,139144,01,4
2000,139719,01,4
2000,139959,01,85
2000,141574,01,2
2000,142285,01,21
2000,145637,01,111
2000,145813,01,63
2000,149222,01,21
2000,152381,01,6
2000,153250,01,15
2000,153603,01,268
2000,154004,01,1
2000,155061,01,28
2000,155399,01,143
2000,155511,01,2
2000,155520,01,6
2000,156295,01,2
2000,156620,01,51
2000,157085,01,51
2000,157377,01,8
2000,159391,01,28
2000,159647,01,14
2000,159966,01,8
2000,159993,01,20
2000,160621,01,9
2000,160658,01,4
2000,161253,01,26
2000,161572,01,7
2000,163286,01,29
2000,163338,01,3
2000,166948,01,5
2000,168740,01,3
2000,171100,01,288
2000,174066,01,15
2000,174075,01,18
2000,175078,01,4
2000,175342,01,31
2000,176080,01,41
2000,176965,01,34
2000,178369,01,3
2000,178396,01,73
2000,178624,01,39
2000,178697,01,10
2000,178721,01,0
2000,179548,01,4
2000,179557,01,13
2000,179566,01,22
2000,179964,01,17
2000,180461,01,34
2000,180522,01,3
2000,180595,01,6
2000,181215,01,20
2000,181464,01,127
2000,182290,01,5
2000,183974,01,9
2000,187648,01,1
2000,188030,01,27
2000,190433,01,222
2000,196033,01,32
2000,199102,01,7
2000,199193,01,53
2000,200332,01,72
2000,202763,01,29
2000,203580,01,7
2000,204796,01,112
2000,204857,01,0
2000,204936,01,7
2000,206507,01,28
2000,207306,01,12
2000,207351,01,20
2000,207388,01,73
2000,209542,01,71
2000,211981,01,45
2000,214777,01,145
2000,216339,01,1
2000,217235,01,7
2000,217484,01,13
2000,217749,01,1
2000,217882,01,56
2000,218733,01,3
2000,219356,01,85
2000,220215,01,3
2000,220978,01,16
2000,221759,01,81
2000,222178,01,4
2000,222831,01,0
2000,224554,01,5
2000,227526,01,7
2000,227881,01,41
