Detailed Work Activity (DWA),Rank
Accounting,
Analyze budgetary or accounting data.,1
Analyze financial records to improve budgeting or planning.,2
Analyze financial information.,3
Develop financial analysis methods.,4
"Prepare financial documents, reports, or budgets.",5
Implement financial decisions.,6
Analyze financial records to improve efficiency.,7
Manage financial activities of the organization.,8
Analyze financial records or reports to determine state of operations.,9
Reconcile records of sales or other financial transactions.,10
Agriculture,
Document technical specifications or requirements.,1
"Send information, materials or documentation.",2
"Establish standards for products, processes, or procedures.",3
"Estimate supplies, ingredients, or staff requirements for food preparation activities.",4
"Determine types of equipment, tools, or materials needed for jobs.",5
Prepare materials or solutions for animal or plant use.,6
Analyze data to assess operational or project effectiveness.,7
Develop plans to manage natural or renewable resources.,8
Evaluate environmental or sustainability projects.,9
"Evaluate potential of products, technologies, or resources.",10
Anthropology,
Conduct anthropological or archaeological research.,1
Research issues related to the environment or sustainable business practices.,2
"Send information, materials or documentation.",3
Analyze environmental data.,4
Interview people to obtain information about actions or status of individuals.,5
Conduct surveys in organizations.,6
Assist other educational professionals with projects or research.,7
"Document events or evidence, using photographic or audiovisual equipment.",8
Teach social science courses at the college level.,9
Analyze geological or geographical data.,10
Architecture,
Design structures or facilities.,1
Plan facility layouts or designs.,2
"Plan layout of construction, installation, or repairs.",3
"Develop artistic or design concepts for decoration, exhibition, or commercial purposes.",4
Determine construction project layouts.,5
Design civil structures or systems.,6
Collaborate with others to develop or refine designs.,7
Review art or design materials.,8
Create construction or installation diagrams.,9
Discuss designs or plans with clients.,10
Astronomy,
Measure physical or chemical properties of materials or objects.,1
Inspect sets or exhibits.,2
Research new technologies.,3
Analyze geological or geographical data.,4
Measure radiation levels.,5
Analyze geological samples.,6
Calibrate scientific or technical equipment.,7
Collaborate on research activities with scientists or technical specialists.,8
Stay informed about current developments in field of specialization.,9
"Send information, materials or documentation.",10
Atmospheric Sciences,
Conduct climatological research.,1
Analyze environmental data.,2
Research hydrologic features or processes.,3
Record information about environmental conditions.,4
Compile environmental or climatological data.,5
Measure environmental characteristics.,6
Analyze geological or geographical data.,7
Monitor environmental conditions to detect hazards.,8
Inspect condition of natural environments.,9
Collect environmental data or samples.,10
Basic Computer Skills,
Develop procedures for data entry or processing.,1
Train others in computer interface or software use.,2
Teach others to use computer equipment or hardware.,3
Design software applications.,4
Develop specifications for computer network operation.,5
Design integrated computer systems.,6
Develop models of information or communications systems.,7
Create databases to store electronic data.,8
Implement security measures for computer or information systems.,9
Develop procedures for data management.,10
Basic Skills,
Assist other educational professionals with projects or research.,1
Manage documentation to ensure organization or accuracy.,2
Attend events to develop professional knowledge.,3
Maintain current knowledge related to work activities.,4
Maintain professional knowledge or certifications.,5
Evaluate performance of educational staff.,6
Evaluate program effectiveness.,7
Conduct employee training programs.,8
Encourage patients or clients to develop life skills.,9
Counsel clients regarding educational or vocational issues.,10
Biology,
Prepare biological specimens for laboratory analysis.,1
Prepare biological samples for testing or analysis.,2
Analyze biological samples.,3
Research genetic characteristics or expression.,4
Plan biological research.,5
