Code	Data Name	Prereq(s)	H-Position	V-Position	Display Name	Link to Practice problem
						
1	counting-out-1-20-objects	root	-40	3	Count with small numbers	
2	which-has-more-	root	-40	10	Compare size	
3	naming-shapes	root	-40	13	Name shapes 1	
4	count-to-100	1	-38	-2	Numbers to 100	
5	count-from-any-number	1	-38	-1	Missing numbers	
6	counting-in-scenes	1	-38	0	Count in pictures	
7	counting-objects	1	-38	1	Count in order	
8	one-more--one-less	1	-38	2	Find 1 more or 1 less than a number	
9	how-many-objects-1	1	-38	3	Count objects 1	
10	compare-groups-through-10	1	-38	5	Compare numbers of objects 1	
11	comparing-numbers-through-10	1	-38	6	Comparing numbers to 10	
12	how-many-objects-2	9	-37	2	Count objects 2	
13	making-five	9	-36	3	Making 5	
14	put-together	9	-36	4	Add within 10	
15	sort-groups-by-count	9; 10	-36	7	Compare numbers of objects 2	
16	addition_1	13	-35	3	Add within 5	
17	take-apart	14	-35	4	Subtract within 10	
18	making-totals-in-different-ways-within-10	16	-34	1	Making small numbers in different ways	
19	making-ten	16	-34	3	Make 10 (grids and number bonds)	
20	naming-shapes-2	3	-34	13	Name shapes 2	
21	subtraction_1	16	-33	1	Subtract within 5	
22	addition-word-problems-within-10	19	-33	2	Addition word problems within 10	
23	making-ten-2	19	-33	3	Make 10	
24	teen-numbers-1	14	-33	6	Teen numbers	
25	compare-shapes	20	-33	13	Compare shapes	
26	relate-addition-and-subtraction	21	-32	0	Relate addition and subtraction	
27	subtraction-word-problems-within-10	17	-32	4	Subtraction word problems within 10	
28	compose-shapes	25	-32	14	Compose shapes	
29	numbers-to-120	4	-27	-2	Numbers to 120	
30	understanding-2-digit-numbers	16; 24	-27	5	2-digit place value challenge	
31	order-by-length	2	-27	10	Order by length	
32	attributes-of-shapes	9; 25	-27	16	Name shapes 3	
33	addition_2	addition-and-subtraction-within-10	-26	2	Add within 20	
34	groups-of-tens	30	-26	4	Groups of ten objects	
35	tens-and-ones	30	-26	5	Tens and ones	
36	comparing_whole_numbers	15; 30	-26	7	Compare 2-digit numbers	
37	measuring-lengths-1	31	-26	10	Measure lengths 1	
38	halves-and-fourths	28; 32	-26	17	Halves and fourths	
39	subtraction_2	33	-25	2	Subtract within 20	
40	comparing-two-digit-numbers-1	36	-25	7	Compare 2-digit numbers 2	
41	meaning-of-equal-sign-1	39	-24	1	Equal sign	
42	addition-and-subtraction-word-problems-within-20--level-1	22; 27; 33; 39	-23	-3	Addition and subtraction word problems 1	
43	adding-three-numbers	42	-22	-4	Add 3 numbers	
44	addition-and-subtraction-word-problems-within-20--level-2	42	-22	-3	Addition and subtraction word problems 2	
45	addition-and-subtraction-word-problems-within-20--level-3	44	-21	-3	Word problems with \more\ and \fewer\ 1	
46	breaking-apart-two-digit-addition-problems	35	-21	4	Break apart 2-digit addition problems	
47	add-within-100--level-1	addition-and-subtraction-within-10	-21	5	Add 1 or 10	
48	addition-and-subtraction-word-problems-within-20--level-4	45	-20	-3	Word problems with \more\ and \fewer\ 2	
49	adding-1s-or-10s-to-two-digit-numbers	46; 47	-20	5	Add 1s or 10s (no regrouping)	
50	solving-problems-with-bar-graphs-1	39	-20	12	Solve problems with bar graphs 1	
51	regroup-two-digit-plus-one-digit	49	-19	4	Regroup when adding 1-digit numbers	
52	add-within-100--level-2	49	-19	5	Add 2-digit numbers (no regrouping)	
53	subtract-with-in-100-level-1	47	-18	6	Subtract 1 or 10	
54	addition_3	33; 51; 52	-17	0	Add within 100	
55	making-100	51; 52	-17	4	Add 2-digit numbers by making tens	
56	subtracting-1s-or-10s	53	-17	6	Subtracting 1s or 10s (no regrouping)	
57	hundreds--tens--and-ones	35	-17	8	Hundreds tens and ones	
58	measuring-lengths-2	37	-17	17	Measure lengths 2	
59	making-100-level-2	55	-16	4	Add 2-digit numbers by making tens 2	
60	subtract-within-100-level-2	52; 56	-16	6	Subtract 2-digit numbers (no regrouping)	
61	regroup-two-dig-minus-one-dig	56	-16	7	Subtract 1-digit numbers with regrouping	
62	skip-counting-by-5s	57	-16	8	Skip-count by 5s	
63	writing-numbers-to-1000	57	-16	9	3-digit place value challenge	
64	solving-problems-with-picture-graphs-1	39	-16	13	Solve problems with picture graphs 1	
65	solving-problems-with-line-plots-1	39	-16	14	Solve problems with line plots	
66	estimating-lengths	58	-16	18	Estimate lengths	
67	recognizing-shapes	32	-16	22	Name shapes 4	
68	skip-counting-by-10s	62	-15	8	Skip-count by 10s	
69	comparing-numbers-within-1000	63	-15	9	Compare 3-digit numbers	
70	creating-line-plots-1	50; 58; 64; 65	-15	14	Make line plots	
71	equal-parts-of-circles-and-rectangles	38	-15	23	Equal parts of circles and rectangles	
72	subtraction_3	39; 54; 60	-14	2	Subtract within 100	
73	add-sub-within-100-w-num-line	60	-14	4	Add and subtract using a number line	
74	select-strategies-for-adding-within-100	59; 60	-14	5	Select strategies for adding within 100	
75	skip-counting-by-100s	68	-14	8	Skip-counting by 100s	
76	addition-and-subtraction-word-problems-within-100--level-1	42; 72	-13	-2	Add and subtract within 100 word problems 1	
77	addition-and-subtraction-word-problems-within-100--level-2	76	-12	-2	Add and subtract within 100 word problems 2	
78	repeated-addition	76	-12	-1	Repeated addition	
79	find-the-missing-number-add-sub-within-100	72	-12	1	Find the missing number (add and subtract within 100)	
80	addition-and-subtraction-word-problems-within-100--level-3	77	-11	-2	Add and subtract within 100 word problems 3	
81	telling_time_0.5	54	-11	17	Tell time with a labeled clock	
82	addition-and-subtraction-word-problems-within-100--level-4	80	-10	-2	Challenging add and subtract word problems (within 100)	
83	break-apart-three-dig-add	57	-10	7	Break apart 3-digit addition problems	
84	adding-and-subtracting-on-the-number-line-word-problems	42; 72; comparing-lengths	-10	14	Add and subtract on the number line word problems	
85	telling_time	81	-10	17	Tell time without labels	
86	meaning-of-multiplication	78	-9	1	Meaning of multiplication	
87	counting-money--us-	72	-9	4	Count money (U.S.)	
88	add-within-1000--level-1	52; 83	-9	6	Add 10s and 100s (no regrouping)	
89	length-word-problems	37; 72; comparing-lengths	-9	10	Length word problems	
90	solving-problems-with-bar-graphs-2	50; 72	-9	12	Solve problems with bar graphs 2	
91	multiplying-by-3	meaning-of-multiplication	-8	0	Multiply by 3	
92	multiplying-by-2	meaning-of-multiplication	-8	1	Multiply by 2	
93	multiplying-by-0-or-1	meaning-of-multiplication	-8	2	Multiply by 0 or 1	
94	add-within-1000--level-2	add-within-1000--level-1	-8	6	Add 2- and 3-digit numbers (no regrouping)	
95	subtract-within-1000--level-1	add-within-1000--level-1; subtract-within-100-level-2	-8	7	Subtract 10s and 100s (no regrouping)	
96	multiplying-by-6	multiplying-by-3	-7	0	Multiply by 6	
97	multiplying-by-4	multiplying-by-2	-7	1	Multiply by 4	
98	multiplying-by-5	multiplying-by-2	-7	2	Multiply by 5	
99	subtract-within-1000--level-2	add-within-1000--level-2; subtract-within-1000--level-1	-7	7	Subtract 2- and 3-digit numbers (no regrouping)	
100	that-s-not-fair-	equal-parts-of-circles-and-rectangles	-7	17	Cut shapes into equal parts	
101	multiplying-by-7	multiplying-by-6	-6	-1	Multiply by 7	
102	multiplying-by-9	multiplying-by-6	-6	0	Multiply by 9	
103	multiplying-by-8	multiplying-by-4	-6	1	Multiply by 8	
104	adding-and-subtracting-within-1000-using-a-number-line	add-within-1000--level-2; subtract-within-1000--level-2	-6	6	Add and subtract on a number line	
105	cutting-shapes-into-equal-parts	that-s-not-fair-	-6	16	Identify unit fractions	
106	meaning-of-division	meaning-of-multiplication	-5	-2	Meaning of division	
107	recognizing_fractions_0.5	cutting-shapes-into-equal-parts	-5	14	Recognize fractions	
108	dividing-by-3	meaning-of-division	-4	-3	Divide by 3	
109	dividing-by-2	meaning-of-division	-4	-2	Divide by 2	
110	dividing-by-1	meaning-of-division	-4	-1	Divide by 1	
111	dividing-by-6	dividing-by-3	-3	-3	Divide by 6	
112	dividing-by-4	dividing-by-2	-3	-2	Divide by 4	
113	dividing-by-5	dividing-by-2	-3	-1	Divide by 5	
114	addition_4	select-strategies-for-adding-within-1000break-apart-three-dig-addmaking-100-and-1000	-2	-6	Add within 1000	
115	dividing-by-7	dividing-by-6	-2	-4	Divide by 7	
116	dividing-by-9	dividing-by-6	-2	-3	Divide by 9	
117	dividing-by-8	dividing-by-4	-2	-2	Divide by 8	
118	dividing-by-10	dividing-by-1; dividing-by-5	-2	0	Divide by 10	
119	multiplication_0.5	meaning-of-multiplication	-2	3	Basic multiplication	
120	understanding-area	that-s-not-fair-	-2	23	Compare area with unit squares	
121	making-100-and-1000	breaking-apart-two-digit-addition-problems	-1	-7	Add using groups of 10 and 100	
122	subtraction_4	select-strategies-for-subtracting-within-1000break-apart-3-digit-subtraction-problemssubtract-on-a-number-line	-1	-6	Subtract within 1000	
123	multiply-1-digit-number-by-10--100-1000	multiplication_0.5	-1	5	Multiply 1-digit numbers by 10 100 and 1000	
124	converting_repeating_decimals_to_fractions_1		-1	24	Converting repeating decimals to fractions	
125	find-the-missing-number--addition-and-subtraction-within-1000-	subtraction_4; addition_4	0	-7	Find the missing number (add and subtract within 1000)	
126	multiplication_1	multiplication_0.5	0	1	Multiply by tens	
127	division_0.5	multiplication_0.5; meaning-of-division	0	4	Basic division	
128	multiply-1-digit-number-by-multiple-of-10-100-1000	multiply-1-digit-number-by-10--100-1000	0	5	Multiply 1-digit numbers by a multiple of 10 100 and 1000	
129	writing-fractions-as-whole-numbers	recognizing_fractions_0.5	0	11	Write fractions as whole numbers	
130	fractions_on_the_number_line_1	recognizing_fractions_0.5	0	12	Fractions on the number line	
131	fractions-greater-than-one	recognizing_fractions_0.5	0	13	Recognize fractions greater than 1	
132	recognizing_fractions	recognizing_fractions_0.5	0	14	Identify numerators and denominators	
133	telling-time-to-the-nearest-minute	telling_time_0.5	0	19	Tell time to the nearest minute	
134	area_1	understanding-area	0	25	Find area by counting unit squares	
135	perimeter_1	multiplication_0.5; addition_3	0	29	Find perimeter by counting unit squares	
136	rounding-to-the-nearest-ten-or-hundred		1	-12	Round to nearest 10 or 100	
137	patterns-in-the-addition-table-and-multiplication-table	multiplication_0.5	1	-2	Patterns in multiplication tables	
139	multiply-by-tens-word-problems	multiplication_1	1	1	Multiply by tens word problems	
140	division_1	division_0.5	1	4	Find missing divisors and dividends (1-digit division)	
141	multiplying-tens	multiply-1-digit-number-by-multiple-of-10-100-1000; multiplication_1	1	5	Multiplying 10s	
142	multiplying-with-arrays	multiplication_0.5	1	7	Multiply with arrays	
143	fractions_on_the_number_line_2	fractions_on_the_number_line_1	1	12	Unit fractions on the number line	
144	equivalent-fraction-models-1	fractions-greater-than-one	1	13	Equivalent fraction models	
145	naming-the-whole	recognizing_fractions_0.5	1	16	Compare fractions of different wholes	
