skill_id	prereq_id	source	type
khan.count-to-100	khan.counting-out-1-20-objects	khan	prerequisite
khan.count-from-any-number	khan.counting-out-1-20-objects	khan	prerequisite
khan.counting-in-scenes	khan.counting-out-1-20-objects	khan	prerequisite
khan.counting-objects	khan.counting-out-1-20-objects	khan	prerequisite
khan.how-many-objects-1	khan.counting-out-1-20-objects	khan	prerequisite
khan.compare-groups-through-10	khan.counting-out-1-20-objects	khan	prerequisite
khan.comparing-numbers-through-10	khan.counting-out-1-20-objects	khan	prerequisite
khan.how-many-objects-2	khan.how-many-objects-1	khan	prerequisite
khan.making-five	khan.how-many-objects-1	khan	prerequisite
khan.put-together	khan.how-many-objects-1	khan	prerequisite
khan.sort-groups-by-count	khan.how-many-objects-1	khan	prerequisite
khan.sort-groups-by-count	khan.compare-groups-through-10	khan	prerequisite
khan.addition_1	khan.making-five	khan	prerequisite
khan.take-apart	khan.put-together	khan	prerequisite
khan.making-totals-in-different-ways-within-10	khan.addition_1	khan	prerequisite
khan.making-ten	khan.addition_1	khan	prerequisite
khan.naming-shapes-2	khan.naming-shapes	khan	prerequisite
khan.subtraction_1	khan.addition_1	khan	prerequisite
khan.addition-word-problems-within-10	khan.making-ten	khan	prerequisite
khan.teen-numbers-1	khan.put-together	khan	prerequisite
khan.compare-shapes	khan.naming-shapes-2	khan	prerequisite
khan.relate-addition-and-subtraction	khan.subtraction_1	khan	prerequisite
khan.subtraction-word-problems-within-10	khan.take-apart	khan	prerequisite
khan.compose-shapes	khan.compare-shapes	khan	prerequisite
khan.understanding-2-digit-numbers	khan.addition_1	khan	prerequisite
khan.understanding-2-digit-numbers	khan.teen-numbers-1	khan	prerequisite
khan.order-by-length	khan.which-has-more-	khan	prerequisite
khan.attributes-of-shapes	khan.how-many-objects-1	khan	prerequisite
khan.attributes-of-shapes	khan.compare-shapes	khan	prerequisite
khan.groups-of-tens	khan.understanding-2-digit-numbers	khan	prerequisite
khan.tens-and-ones	khan.understanding-2-digit-numbers	khan	prerequisite
khan.comparing_whole_numbers	khan.sort-groups-by-count	khan	prerequisite
khan.comparing_whole_numbers	khan.understanding-2-digit-numbers	khan	prerequisite
khan.measuring-lengths-1	khan.order-by-length	khan	prerequisite
khan.halves-and-fourths	khan.compose-shapes	khan	prerequisite
khan.halves-and-fourths	khan.attributes-of-shapes	khan	prerequisite
khan.subtraction_2	khan.addition_2	khan	prerequisite
khan.comparing-two-digit-numbers-1	khan.comparing_whole_numbers	khan	prerequisite
khan.meaning-of-equal-sign-1	khan.subtraction_2	khan	prerequisite
khan.addition-and-subtraction-word-problems-within-20--level-1	khan.addition-word-problems-within-10	khan	prerequisite
khan.addition-and-subtraction-word-problems-within-20--level-1	khan.subtraction-word-problems-within-10	khan	prerequisite
khan.addition-and-subtraction-word-problems-within-20--level-1	khan.addition_2	khan	prerequisite
khan.addition-and-subtraction-word-problems-within-20--level-1	khan.subtraction_2	khan	prerequisite
khan.adding-three-numbers	khan.addition-and-subtraction-word-problems-within-20--level-1	khan	prerequisite
khan.addition-and-subtraction-word-problems-within-20--level-2	khan.addition-and-subtraction-word-problems-within-20--level-1	khan	prerequisite
khan.addition-and-subtraction-word-problems-within-20--level-3	khan.addition-and-subtraction-word-problems-within-20--level-2	khan	prerequisite
khan.breaking-apart-two-digit-addition-problems	khan.tens-and-ones	khan	prerequisite
khan.addition-and-subtraction-word-problems-within-20--level-4	khan.addition-and-subtraction-word-problems-within-20--level-3	khan	prerequisite
khan.adding-1s-or-10s-to-two-digit-numbers	khan.breaking-apart-two-digit-addition-problems	khan	prerequisite
khan.adding-1s-or-10s-to-two-digit-numbers	khan.add-within-100--level-1	khan	prerequisite
khan.solving-problems-with-bar-graphs-1	khan.subtraction_2	khan	prerequisite
khan.regroup-two-digit-plus-one-digit	khan.adding-1s-or-10s-to-two-digit-numbers	khan	prerequisite
khan.add-within-100--level-2	khan.adding-1s-or-10s-to-two-digit-numbers	khan	prerequisite
khan.subtract-with-in-100-level-1	khan.add-within-100--level-1	khan	prerequisite
csp.1.NBT.B.5	khan.addition_2	khan	prerequisite
csp.1.NBT.B.5	khan.regroup-two-digit-plus-one-digit	khan	prerequisite
csp.1.NBT.B.5	khan.add-within-100--level-2	khan	prerequisite
khan.subtracting-1s-or-10s	khan.subtract-with-in-100-level-1	khan	prerequisite
khan.measuring-lengths-2	khan.measuring-lengths-1	khan	prerequisite
khan.subtract-within-100-level-2	khan.add-within-100--level-2	khan	prerequisite
khan.subtract-within-100-level-2	khan.subtracting-1s-or-10s	khan	prerequisite
khan.solving-problems-with-picture-graphs-1	khan.subtraction_2	khan	prerequisite
khan.solving-problems-with-line-plots-1	khan.subtraction_2	khan	prerequisite
khan.estimating-lengths	khan.measuring-lengths-2	khan	prerequisite
khan.recognizing-shapes	khan.attributes-of-shapes	khan	prerequisite
khan.comparing-numbers-within-1000	khan.writing-numbers-to-1000	khan	prerequisite
khan.creating-line-plots-1	khan.solving-problems-with-bar-graphs-1	khan	prerequisite
khan.creating-line-plots-1	khan.measuring-lengths-2	khan	prerequisite
khan.creating-line-plots-1	khan.solving-problems-with-picture-graphs-1	khan	prerequisite
khan.creating-line-plots-1	khan.solving-problems-with-line-plots-1	khan	prerequisite
khan.equal-parts-of-circles-and-rectangles	khan.halves-and-fourths	khan	prerequisite
khan.subtraction_3	khan.subtraction_2	khan	prerequisite
khan.subtraction_3	csp.1.NBT.B.5	khan	prerequisite
khan.subtraction_3	khan.subtract-within-100-level-2	khan	prerequisite
khan.add-sub-within-100-w-num-line	khan.subtract-within-100-level-2	khan	prerequisite
khan.select-strategies-for-adding-within-100	khan.making-100-level-2	khan	prerequisite
khan.select-strategies-for-adding-within-100	khan.subtract-within-100-level-2	khan	prerequisite
