skill_id	prereq_id	source	type	confidence
khan.count-to-100	khan.counting-out-1-20-objects	khan	prerequisite	1.00
khan.count-from-any-number	khan.counting-out-1-20-objects	khan	prerequisite	1.00
khan.counting-in-scenes	khan.counting-out-1-20-objects	khan	prerequisite	1.00
khan.counting-objects	khan.counting-out-1-20-objects	khan	prerequisite	1.00
khan.one-more--one-less	khan.counting-out-1-20-objects	khan	prerequisite	1.00
khan.how-many-objects-1	khan.counting-out-1-20-objects	khan	prerequisite	1.00
khan.compare-groups-through-10	khan.counting-out-1-20-objects	khan	prerequisite	1.00
khan.comparing-numbers-through-10	khan.counting-out-1-20-objects	khan	prerequisite	1.00
khan.how-many-objects-2	khan.how-many-objects-1	khan	prerequisite	1.00
khan.making-five	khan.how-many-objects-1	khan	prerequisite	1.00
khan.put-together	khan.how-many-objects-1	khan	prerequisite	1.00
khan.sort-groups-by-count	khan.how-many-objects-1	khan	prerequisite	1.00
khan.sort-groups-by-count	khan.compare-groups-through-10	khan	prerequisite	1.00
khan.addition_1	khan.making-five	khan	prerequisite	1.00
khan.take-apart	khan.put-together	khan	prerequisite	1.00
khan.making-totals-in-different-ways-within-10	khan.addition_1	khan	prerequisite	1.00
khan.making-ten	khan.addition_1	khan	prerequisite	1.00
khan.naming-shapes-2	khan.naming-shapes	khan	prerequisite	1.00
khan.subtraction_1	khan.addition_1	khan	prerequisite	1.00
khan.addition-word-problems-within-10	khan.making-ten	khan	prerequisite	1.00
khan.teen-numbers-1	khan.put-together	khan	prerequisite	1.00
khan.compare-shapes	khan.naming-shapes-2	khan	prerequisite	1.00
khan.relate-addition-and-subtraction	khan.subtraction_1	khan	prerequisite	1.00
khan.subtraction-word-problems-within-10	khan.take-apart	khan	prerequisite	1.00
khan.compose-shapes	khan.compare-shapes	khan	prerequisite	1.00
khan.understanding-2-digit-numbers	khan.addition_1	khan	prerequisite	1.00
khan.understanding-2-digit-numbers	khan.teen-numbers-1	khan	prerequisite	1.00
khan.order-by-length	khan.which-has-more-	khan	prerequisite	1.00
khan.attributes-of-shapes	khan.how-many-objects-1	khan	prerequisite	1.00
khan.attributes-of-shapes	khan.compare-shapes	khan	prerequisite	1.00
khan.groups-of-tens	khan.understanding-2-digit-numbers	khan	prerequisite	1.00
khan.tens-and-ones	khan.understanding-2-digit-numbers	khan	prerequisite	1.00
khan.comparing_whole_numbers	khan.sort-groups-by-count	khan	prerequisite	1.00
khan.comparing_whole_numbers	khan.understanding-2-digit-numbers	khan	prerequisite	1.00
khan.measuring-lengths-1	khan.order-by-length	khan	prerequisite	1.00
khan.halves-and-fourths	khan.compose-shapes	khan	prerequisite	1.00
khan.halves-and-fourths	khan.attributes-of-shapes	khan	prerequisite	1.00
khan.subtraction_2	khan.addition_2	khan	prerequisite	1.00
khan.comparing-two-digit-numbers-1	khan.comparing_whole_numbers	khan	prerequisite	1.00
khan.meaning-of-equal-sign-1	khan.subtraction_2	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-20--level-1	khan.addition-word-problems-within-10	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-20--level-1	khan.subtraction-word-problems-within-10	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-20--level-1	khan.addition_2	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-20--level-1	khan.subtraction_2	khan	prerequisite	1.00
khan.adding-three-numbers	khan.addition-and-subtraction-word-problems-within-20--level-1	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-20--level-2	khan.addition-and-subtraction-word-problems-within-20--level-1	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-20--level-3	khan.addition-and-subtraction-word-problems-within-20--level-2	khan	prerequisite	1.00
khan.breaking-apart-two-digit-addition-problems	khan.tens-and-ones	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-20--level-4	khan.addition-and-subtraction-word-problems-within-20--level-3	khan	prerequisite	1.00
khan.adding-1s-or-10s-to-two-digit-numbers	khan.breaking-apart-two-digit-addition-problems	khan	prerequisite	1.00
khan.adding-1s-or-10s-to-two-digit-numbers	khan.add-within-100--level-1	khan	prerequisite	1.00
khan.solving-problems-with-bar-graphs-1	khan.subtraction_2	khan	prerequisite	1.00
khan.regroup-two-digit-plus-one-digit	khan.adding-1s-or-10s-to-two-digit-numbers	khan	prerequisite	1.00
khan.add-within-100--level-2	khan.adding-1s-or-10s-to-two-digit-numbers	khan	prerequisite	1.00
khan.subtract-with-in-100-level-1	khan.add-within-100--level-1	khan	prerequisite	1.00
khan.subtracting-1s-or-10s	khan.subtract-with-in-100-level-1	khan	prerequisite	1.00
khan.measuring-lengths-2	khan.measuring-lengths-1	khan	prerequisite	1.00
khan.subtract-within-100-level-2	khan.add-within-100--level-2	khan	prerequisite	1.00
khan.subtract-within-100-level-2	khan.subtracting-1s-or-10s	khan	prerequisite	1.00
khan.solving-problems-with-picture-graphs-1	khan.subtraction_2	khan	prerequisite	1.00
khan.solving-problems-with-line-plots-1	khan.subtraction_2	khan	prerequisite	1.00
khan.estimating-lengths	khan.measuring-lengths-2	khan	prerequisite	1.00
khan.recognizing-shapes	khan.attributes-of-shapes	khan	prerequisite	1.00
khan.comparing-numbers-within-1000	khan.writing-numbers-to-1000	khan	prerequisite	1.00
khan.creating-line-plots-1	khan.solving-problems-with-bar-graphs-1	khan	prerequisite	1.00
khan.creating-line-plots-1	khan.measuring-lengths-2	khan	prerequisite	1.00
khan.creating-line-plots-1	khan.solving-problems-with-picture-graphs-1	khan	prerequisite	1.00
khan.creating-line-plots-1	khan.solving-problems-with-line-plots-1	khan	prerequisite	1.00
khan.equal-parts-of-circles-and-rectangles	khan.halves-and-fourths	khan	prerequisite	1.00
khan.subtraction_3	khan.subtraction_2	khan	prerequisite	1.00
khan.subtraction_3	khan.subtract-within-100-level-2	khan	prerequisite	1.00
khan.add-sub-within-100-w-num-line	khan.subtract-within-100-level-2	khan	prerequisite	1.00
khan.select-strategies-for-adding-within-100	khan.making-100-level-2	khan	prerequisite	1.00
khan.select-strategies-for-adding-within-100	khan.subtract-within-100-level-2	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-100--level-1	khan.addition-and-subtraction-word-problems-within-20--level-1	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-100--level-1	khan.subtraction_3	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-100--level-2	khan.addition-and-subtraction-word-problems-within-100--level-1	khan	prerequisite	1.00
khan.repeated-addition	khan.addition-and-subtraction-word-problems-within-100--level-1	khan	prerequisite	1.00
khan.find-the-missing-number-add-sub-within-100	khan.subtraction_3	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-100--level-3	khan.addition-and-subtraction-word-problems-within-100--level-2	khan	prerequisite	1.00
khan.addition-and-subtraction-word-problems-within-100--level-4	khan.addition-and-subtraction-word-problems-within-100--level-3	khan	prerequisite	1.00
khan.adding-and-subtracting-on-the-number-line-word-problems	khan.addition-and-subtraction-word-problems-within-20--level-1	khan	prerequisite	1.00
khan.adding-and-subtracting-on-the-number-line-word-problems	khan.subtraction_3	khan	prerequisite	1.00
khan.meaning-of-multiplication	khan.repeated-addition	khan	prerequisite	1.00
khan.counting-money--us-	khan.subtraction_3	khan	prerequisite	1.00
khan.add-within-1000--level-1	khan.add-within-100--level-2	khan	prerequisite	1.00
khan.add-within-1000--level-1	khan.break-apart-three-dig-add	khan	prerequisite	1.00
khan.length-word-problems	khan.measuring-lengths-1	khan	prerequisite	1.00
khan.length-word-problems	khan.subtraction_3	khan	prerequisite	1.00
khan.solving-problems-with-bar-graphs-2	khan.solving-problems-with-bar-graphs-1	khan	prerequisite	1.00
khan.solving-problems-with-bar-graphs-2	khan.subtraction_3	khan	prerequisite	1.00
khan.multiplying-by-3	khan.meaning-of-multiplication	khan	prerequisite	1.00
khan.multiplying-by-2	khan.meaning-of-multiplication	khan	prerequisite	1.00
khan.multiplying-by-0-or-1	khan.meaning-of-multiplication	khan	prerequisite	1.00
khan.add-within-1000--level-2	khan.add-within-1000--level-1	khan	prerequisite	1.00
khan.subtract-within-1000--level-1	khan.add-within-1000--level-1	khan	prerequisite	1.00
khan.subtract-within-1000--level-1	khan.subtract-within-100-level-2	khan	prerequisite	1.00
khan.multiplying-by-6	khan.multiplying-by-3	khan	prerequisite	1.00
khan.multiplying-by-4	khan.multiplying-by-2	khan	prerequisite	1.00
khan.multiplying-by-5	khan.multiplying-by-2	khan	prerequisite	1.00
khan.subtract-within-1000--level-2	khan.add-within-1000--level-2	khan	prerequisite	1.00
khan.subtract-within-1000--level-2	khan.subtract-within-1000--level-1	khan	prerequisite	1.00
khan.that-s-not-fair-	khan.equal-parts-of-circles-and-rectangles	khan	prerequisite	1.00
khan.multiplying-by-7	khan.multiplying-by-6	khan	prerequisite	1.00
