id	ext_ids	ext_urls	label	description	tags	source	grade_start	grade_end
khan.counting-out-1-20-objects			Count with small numbers		math	khan	1.0	6.0
khan.which-has-more-			Compare size		math	khan	1.0	6.0
khan.naming-shapes	dbpedia.Elementary_shapes	http://dbpedia.org/resource/Category:Elementary_shapes	Name shapes 1		math	khan	0.0	6.0
khan.count-to-100	lcsh.sh85062987	http://id.loc.gov/authorities/subjects/sh85062987	Numbers to 100		math	khan	1.0	6.0
khan.count-from-any-number			Missing numbers		math	khan	8.0	12.0
khan.counting-in-scenes			Count in pictures		math	khan	0.0	0.0
khan.counting-objects	lcsh.sh85033451	http://id.loc.gov/authorities/subjects/sh85033451	Count in order		math	khan	0.0	0.0
khan.one-more--one-less			Find 1 more or 1 less than a number		math	khan	1.0	6.0
khan.how-many-objects-1	lcsh.sh85033451	http://id.loc.gov/authorities/subjects/sh85033451	Count objects 1		math	khan	0.0	0.0
khan.compare-groups-through-10			Compare numbers of objects 1		math	khan	7.0	9.0
khan.comparing-numbers-through-10	lcsh.sh85133805	http://id.loc.gov/authorities/subjects/sh85133805	Comparing numbers to 10		math	khan	1.0	6.0
khan.how-many-objects-2	lcsh.sh85033451	http://id.loc.gov/authorities/subjects/sh85033451	Count objects 2		math	khan	0.0	0.0
khan.making-five	dbpedia.5	http://dbpedia.org/resource/Category:5	Making 5		math	khan	5.0	5.0
khan.put-together			Add within 10		math	khan	1.0	6.0
khan.sort-groups-by-count			Compare numbers of objects 2		math	khan	7.0	9.0
khan.addition_1	dbpedia.5	http://dbpedia.org/resource/Category:5	Add within 5		math	khan	1.0	6.0
khan.take-apart			Subtract within 10		math	khan	3.0	3.0
khan.making-totals-in-different-ways-within-10			Making small numbers in different ways		math	khan	1.0	6.0
khan.making-ten	khan.making-ten-2		Make 10 (grids and number bonds)		math	khan	4.0	4.0
khan.naming-shapes-2	dbpedia.Elementary_shapes	http://dbpedia.org/resource/Category:Elementary_shapes	Name shapes 2		math	khan	0.0	6.0
khan.subtraction_1			Subtract within 5		math	khan	1.0	2.0
khan.addition-word-problems-within-10	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Addition word problems within 10		math	khan	1.0	1.0
khan.teen-numbers-1	lcsh.sh2008108510	http://id.loc.gov/authorities/subjects/sh2008108510	Teen numbers		math	khan	1.0	6.0
khan.compare-shapes	lcsh.sh91003389	http://id.loc.gov/authorities/subjects/sh91003389	Compare shapes		math	khan	0.0	0.0
khan.relate-addition-and-subtraction			Relate addition and subtraction		math	khan	2.0	2.0
khan.subtraction-word-problems-within-10	lcsh.sh85148106	http://id.loc.gov/authorities/subjects/sh85148106	Subtraction word problems within 10		math	khan	1.0	1.0
khan.compose-shapes			Compose shapes		math	khan	1.0	1.0
khan.numbers-to-120	dbpedia.1207	http://dbpedia.org/resource/Category:1207	Numbers to 120		math	khan	1.0	1.0
khan.understanding-2-digit-numbers	lcsh.sh85102561	http://id.loc.gov/authorities/subjects/sh85102561	2-digit place value challenge		math	khan	4.0	4.0
